Date,Open,High,Low,Close,Adj Close,Volume
2020-09-11,18.700001,18.973333,18.503332,18.673332,18.018354,32958300
2020-09-14,18.950001,19.616667,18.876665,19.576666,18.890001,33909900
2020-09-15,19.633333,19.663334,19.056665,19.093332,18.423620,22635600
2020-09-16,19.190001,19.293333,18.980000,19.006666,18.339996,21608700
2020-09-17,18.766666,18.963333,18.616667,18.893333,18.230640,25473000
2020-09-18,18.719999,19.299999,18.503332,18.709999,18.053734,50925300
2020-09-21,18.353333,18.700001,18.150000,18.700001,18.044088,34273500
2020-09-22,18.703333,19.263332,18.576666,19.120001,18.449356,28196400
2020-09-23,18.933332,19.190001,18.483334,18.629999,17.976543,29933700
2020-09-24,18.573334,19.733334,18.553333,19.656666,18.967197,51120900
2020-09-25,19.263332,19.309999,18.873333,19.116667,18.698734,24830100
2020-09-28,19.393333,19.423332,18.186666,18.336666,17.935787,43539900
2020-09-29,18.343332,18.719999,17.776667,17.883333,17.492367,42995100
2020-09-30,18.066666,18.520000,17.996666,18.336666,17.935787,32257200
2020-10-01,18.443333,18.443333,17.933332,18.176666,17.779285,34566600
2020-10-02,18.049999,18.469999,17.686666,17.753332,17.365206,32609100
2020-10-05,17.763332,18.606667,17.730000,18.583332,18.177061,34590000
2020-10-06,18.750000,18.820000,17.803333,17.920000,17.528231,41465100
2020-10-07,18.083332,18.230000,17.736666,17.903334,17.511929,46093200
2020-10-08,17.996666,18.333332,17.896666,18.283333,17.883621,35885400
2020-10-09,18.209999,18.469999,18.010000,18.236666,17.837975,22644000
2020-10-13,18.350000,18.426666,18.073334,18.266666,17.867319,25704300
2020-10-14,18.416666,18.930000,18.343332,18.793333,18.382473,38300100
2020-10-15,18.353333,18.656666,18.236666,18.536667,18.131416,29257200
2020-10-16,18.356667,18.686666,18.100000,18.113333,17.717337,29930400
2020-10-19,18.183332,18.986666,18.166666,18.713333,18.304220,35115000
2020-10-20,18.719999,19.303333,18.713333,19.299999,18.878061,42356400
2020-10-21,19.193333,19.500000,19.040001,19.123333,18.705256,25784100
2020-10-22,19.173332,19.219999,18.639999,18.690001,18.281397,44345700
2020-10-23,18.700001,18.733334,18.186666,18.266666,17.867319,34829400
2020-10-26,18.246666,18.616667,17.950001,18.326666,17.926006,26976000
2020-10-27,18.299999,18.410000,17.559999,17.583332,17.198923,51000600
2020-10-28,17.233334,17.466665,16.943333,17.110001,16.735939,53280300
2020-10-29,16.900000,17.830000,16.793333,17.660000,17.273916,54701100
2020-10-30,17.500000,17.566666,16.896666,17.016666,16.644646,35511000
2020-11-03,17.266666,17.433332,16.853333,16.990000,16.618565,36482700
2020-11-04,17.170000,18.080000,17.163334,18.033333,17.639086,45341400
2020-11-05,18.333332,18.879999,18.333332,18.870001,18.457462,53381100
2020-11-06,18.610001,18.959999,18.440001,18.873333,18.460722,25608600
2020-11-09,19.216665,19.433332,17.809999,17.950001,17.557575,67880100
2020-11-10,17.950001,18.700001,17.873333,18.033333,17.639086,49911900
2020-11-11,18.150000,18.656666,17.973333,18.466665,18.062944,34095000
2020-11-12,18.523333,18.570000,17.776667,17.926666,17.534750,47864700
2020-11-13,18.113333,18.200001,17.510000,17.900000,17.508667,83554800
2020-11-16,18.083332,18.290001,17.606667,17.799999,17.410854,57347100
2020-11-17,17.799999,17.966665,17.623333,17.850000,17.459761,50178600
2020-11-18,17.833332,18.290001,17.676666,18.016666,17.622784,60344400
2020-11-19,18.083332,18.440001,17.940001,18.440001,18.036863,49595100
2020-11-23,18.206667,18.330000,17.866667,18.030001,17.635826,24288900
2020-11-24,18.000000,18.570000,17.786667,18.566666,18.160759,42837300
2020-11-25,18.546665,18.910000,18.473333,18.870001,18.457462,33799200
2020-11-26,18.763332,19.033333,18.623333,19.000000,18.584620,22242000
2020-11-27,19.033333,19.096666,18.783333,18.966665,18.552015,32987400
2020-11-30,18.866667,19.000000,18.610001,18.709999,18.300959,65483100
2020-12-01,18.933332,19.063334,18.726665,18.926666,18.512890,31753800
2020-12-02,18.933332,19.879999,18.916666,19.866667,19.432339,54265500
2020-12-03,19.959999,20.139999,19.486666,19.629999,19.200846,45524700
2020-12-04,19.716665,19.820000,19.309999,19.590000,19.161722,32813700
2020-12-07,19.476665,19.703333,19.153334,19.486666,19.060646,33066900
2020-12-08,19.486666,19.593332,19.173332,19.373333,18.949791,27848400
2020-12-09,19.266666,19.386665,18.760000,18.883333,18.470501,48152700
2020-12-10,18.946667,19.450001,18.286667,19.403334,18.979137,54659100
2020-12-11,19.366667,19.723333,19.080000,19.613333,19.184544,33917400
2020-12-14,19.753332,19.799999,19.206667,19.426666,19.001959,23907600
2020-12-15,19.426666,19.743334,19.323334,19.626665,19.197586,28739100
2020-12-16,19.623333,20.376665,19.513332,20.183332,19.742083,62851500
2020-12-17,20.200001,20.513332,20.003332,20.150000,19.709476,36081600
2020-12-18,20.160000,20.366667,19.913334,19.933332,19.497547,36326100
2020-12-21,19.500000,19.926666,19.250000,19.666666,19.236712,30848700
2020-12-22,19.816666,20.129999,19.656666,20.093332,19.654049,22586100
2020-12-23,20.133333,20.280001,19.966665,19.996666,19.559496,15756300
2020-12-28,20.049999,20.500000,19.933332,20.500000,20.051826,19548600
2020-12-29,20.516666,20.656666,20.340000,20.606667,20.156162,17230500
2020-12-30,20.629999,20.726665,20.530001,20.660000,20.208328,45151200
2021-01-04,20.713333,20.863333,20.206667,20.326666,20.062710,25275300
2021-01-05,20.216665,20.646666,19.886665,20.366667,20.102192,29802900
2021-01-06,20.370001,20.416666,19.676666,20.033333,19.773188,51422400
2021-01-07,19.933332,20.680000,19.913334,20.593332,20.325912,27802200
2021-01-08,20.656666,21.280001,20.496666,20.896666,20.625307,41870100
2021-01-11,20.666666,20.889999,19.483334,20.036667,19.776478,52273200
2021-01-12,20.156666,20.723333,19.863333,20.616667,20.348944,34524900
2021-01-13,20.650000,20.799999,20.346666,20.700001,20.431198,27266400
2021-01-14,20.796665,21.000000,20.433332,20.553333,20.286434,23967600
2021-01-15,20.203333,20.459999,19.780001,19.940001,19.681065,50916300
2021-01-18,20.026667,20.483334,19.973333,20.266666,20.003489,24765600
2021-01-19,20.333332,20.533333,19.986666,20.196667,19.934399,21468000
2021-01-20,20.276667,20.453333,19.833332,20.000000,19.740286,24922500
2021-01-21,20.000000,20.299999,19.353333,19.366667,19.115177,34180200
2021-01-22,19.163334,19.696667,18.936666,19.516666,19.263229,39767700
2021-01-26,19.453333,19.866667,19.266666,19.766666,19.509983,38531100
2021-01-27,19.656666,19.963333,19.566666,19.670000,19.414570,31539900
2021-01-28,19.666666,20.466665,19.633333,20.430000,20.164703,27892800
2021-01-29,20.166666,20.330000,19.683332,19.933332,19.674484,46811400
2021-02-01,20.133333,20.673332,20.000000,20.416666,20.151543,35937600
2021-02-02,20.666666,21.226665,20.626665,20.896666,20.625307,41385000
2021-02-03,21.020000,21.366667,20.766666,20.986666,20.714138,39844500
2021-02-04,20.966665,20.980000,20.570000,20.813334,20.543058,20874900
2021-02-05,20.883333,21.316666,20.833332,21.150000,20.875353,23159100
2021-02-08,20.930000,21.129999,20.670000,20.836666,20.566088,25477800
2021-02-09,20.656666,20.806665,20.360001,20.740000,20.470676,19773900
2021-02-10,20.776667,20.916666,19.966665,20.016666,19.756735,40945200
2021-02-11,20.176666,20.316666,19.763332,20.106667,19.845568,50835300
2021-02-12,20.033333,20.093332,19.700001,19.953333,19.694225,35224800
2021-02-17,null,null,null,null,null,null
2021-02-18,19.566666,19.806665,19.299999,19.340000,19.088856,49679100
2021-02-19,19.330000,19.696667,19.206667,19.350000,19.098726,32793600
2021-02-22,18.683332,18.799999,17.976665,18.580000,18.338726,99958200
2021-02-23,18.570000,18.766666,18.323334,18.446667,18.207125,72004500
2021-02-24,18.600000,18.719999,18.076666,18.540001,18.299246,44403600
2021-02-25,18.540001,18.943333,18.113333,18.296665,18.059071,54887700
2021-02-26,18.370001,18.893333,18.100000,18.100000,17.864960,88703700
2021-03-01,18.320000,18.623333,18.020000,18.116667,17.881411,42576600
2021-03-02,17.976665,18.973333,17.299999,18.670000,18.427557,107847900
2021-03-03,18.496666,19.153334,17.559999,18.863333,18.618380,93766500
2021-03-04,18.860001,19.100000,18.160000,18.496666,18.256474,92759100
2021-03-05,18.923332,19.093332,18.436666,18.830000,18.585480,52371900
2021-03-08,18.333332,18.653334,17.413334,17.563334,17.335262,83185500
2021-03-09,17.666666,18.309999,17.570000,17.833332,17.601755,63468900
2021-03-10,17.923332,18.600000,17.693333,18.436666,18.197254,54541500
2021-03-11,18.643333,18.920000,18.183332,18.900000,18.654570,59833800
2021-03-12,18.623333,18.623333,18.273333,18.446667,18.207125,34422000
2021-03-15,18.233334,18.400000,17.933332,17.933332,17.700455,36171600
2021-03-16,17.950001,18.020000,17.333332,17.483334,17.256302,56125500
2021-03-17,17.389999,17.783333,17.233334,17.650000,17.420801,65064000
2021-03-18,17.799999,18.466665,17.713333,17.910000,17.677425,79393500
2021-03-19,18.066666,18.776667,18.036667,18.546665,18.305824,54991200
2021-03-22,18.430000,18.623333,18.253332,18.340000,18.101843,33484500
2021-03-23,18.200001,18.466665,17.966665,18.056665,17.822186,34502700
2021-03-24,18.000000,18.423332,17.870001,17.930000,17.697166,45900900
2021-03-25,17.500000,18.013332,17.309999,17.926666,17.888668,34303200
2021-03-26,17.816666,18.413334,17.793333,18.003332,17.965172,32205300
2021-03-29,17.830000,18.030001,17.756666,17.866667,17.866667,29028900
2021-03-30,17.763332,18.129999,17.650000,17.833332,17.833332,49313400
2021-03-31,17.806665,18.320000,17.756666,18.206667,18.206667,42446700
2021-04-01,18.333332,18.340000,17.770000,17.870001,17.870001,27995100
2021-04-05,18.086666,18.330000,18.043333,18.106667,18.106667,23059500
2021-04-06,18.213333,18.486666,18.070000,18.356667,18.356667,19898700
2021-04-07,18.400000,18.496666,18.186666,18.316666,18.316666,27727200
2021-04-08,18.350000,18.933332,18.333332,18.616667,18.616667,46453500
2021-04-09,18.566666,18.573334,18.296665,18.406666,18.406666,18773700
2021-04-12,18.469999,18.750000,18.396666,18.590000,18.590000,23383500
2021-04-13,18.540001,18.643333,18.299999,18.433332,18.433332,23930100
2021-04-14,18.493334,18.639999,18.273333,18.343332,18.343332,34959900
2021-04-15,18.366667,18.453333,18.026667,18.186666,18.186666,39201000
2021-04-16,18.160000,18.596666,18.110001,18.466665,18.466665,38184300
2021-04-19,18.473333,18.520000,18.120001,18.120001,18.120001,34848000
